,n,Epochs_1,lr1,DropOut,emb_size,Hidden,train_loss,val_loss,val_acc,pos_results,id_400,model
0,1.2,8.0,0.01,0.8,45.0,16.0,0.5256999731063843,0.4045861065387726,0.8900956000906443,0.26378737201253327,1124.0,1.0
1,1.2,8.0,0.01,0.8,45.0,64.0,0.37927380204200745,0.3274354338645935,0.9651116387774967,0.43580478060227856,1344.0,2.0
2,1.2,8.0,0.01,0.8,45.0,256.0,0.3382544219493866,0.3244178295135498,0.9720106241169921,0.4702091964156954,1385.0,3.0
3,1.2,8.0,0.01,0.8,55.0,16.0,0.5729396939277649,0.4567786455154419,0.9035634865178855,0.3020037986549025,1166.0,4.0
4,1.2,8.0,0.01,0.8,55.0,64.0,0.38229599595069885,0.318828284740448,0.9757987490710245,0.449372926963567,1344.0,5.0
5,1.2,8.0,0.01,0.8,55.0,256.0,0.3665134906768799,0.3408466875553131,0.9751123229802459,0.43634688372641817,1298.0,6.0
6,1.2,8.0,0.01,0.8,65.0,16.0,0.5088004469871521,0.39557763934135437,0.9316623458791646,0.37894647141340115,1423.0,7.0
7,1.2,8.0,0.01,0.8,65.0,64.0,0.35220927000045776,0.30973169207572937,0.9724425900663051,0.4787590787524418,1388.0,8.0
8,1.2,8.0,0.01,0.8,65.0,256.0,0.37128910422325134,0.3487650156021118,0.9790073965049017,0.42409749170785427,1258.0,9.0
9,1.2,8.0,0.01,0.9,45.0,16.0,0.6794106364250183,0.6588505506515503,0.6853952438267225,0.04508601257587477,3.0,10.0
10,1.2,8.0,0.01,0.9,45.0,64.0,0.4410247206687927,0.3070618510246277,0.9582486942658598,0.4080135558556314,1309.0,11.0
11,1.2,8.0,0.01,0.9,45.0,256.0,0.391533762216568,0.34467557072639465,0.9653943375210794,0.4663529799284188,1384.0,12.0
12,1.2,8.0,0.01,0.9,55.0,16.0,0.6759472489356995,0.633567750453949,0.7091166203617584,0.47934006155197506,1445.0,13.0
13,1.2,8.0,0.01,0.9,55.0,64.0,0.44652464985847473,0.3545585572719574,0.9501735751691199,0.41472994808395713,1345.0,14.0
14,1.2,8.0,0.01,0.9,55.0,256.0,0.38280919194221497,0.340204656124115,0.9711362238474097,0.42879418927068447,1280.0,15.0
15,1.2,8.0,0.01,0.9,65.0,16.0,0.6882882714271545,0.6804416179656982,0.5421514023561776,0.01543487905307301,0.0,16.0
16,1.2,8.0,0.01,0.9,65.0,64.0,0.4339827299118042,0.2917575538158417,0.956344692759191,0.4518643398403188,1366.0,17.0
17,1.2,8.0,0.01,0.9,65.0,256.0,0.4144194424152374,0.39244478940963745,0.9707338697935288,0.43275332013582074,1290.0,18.0
18,1.2,8.0,0.005,0.8,45.0,16.0,0.5255894660949707,0.4220372140407562,0.9076282110124565,0.33220019632392467,1288.0,19.0
19,1.2,8.0,0.005,0.8,45.0,64.0,0.37596777081489563,0.2828383147716522,0.9559292095899818,0.42245196782778555,1360.0,20.0
